答案,題目,選項A,選項B,選項C,選項D,
24,若要利用Google Play Service進行程式開發，需利用Android SDK Manager進行下載、安裝。在開啟SDK Manager和點選Extras之後，下列哪些項目一定要勾選並下載？,Android Support Repository,Google Repository,Android Support Library,Google Play Service,
1,在應用程式中若要使用WifiManager來掃描附近Wi-Fi熱點時，要呼叫下列哪一個方法？,startScan(),scan(),scanWifi(),start(),
2,下列哪一項類別可攜帶資料，從一個Activity傳送資料到另一個Activity？,Service,Bundle,Data,Info,
124,Activity的生命週期中，包括下列哪些方法？,onResume,onPause,onClose,onCreate,
123,若應用程式會使用藍牙功能，並操作藍牙設置，在建置Android Bluetooth Low Energy（BLE）應用程式時，需加入下列哪些權限與特性聲明？,android.permission.BLUETOOTH,android.permission.BLUETOOTH_ADMIN,android.hardware.bluetooth_le,不需加入任何權限與聲明設定,
1,如果需要讓資料在多個應用程式間共享，應該使用下列哪一項方式？,Content Providers,使用同一個檔案，透過檔案存取方式分享,使用同一個資料庫檔案，直接在應用程式內連接該檔案,應用程式間使用網路連線的方式共享,
4,下列哪一個樣式（Theme）的參數設定，可以讓Android應用程式（App）使用系統桌面作為應用程式背景？,"android:theme = ""Theme.Light""","android:theme = ""Translucent""","android:theme = ""Theme.Panel""","android:theme = ""Theme.Wallpaper""",
1,如果要使用JobService來執行服務，繼承JobService的類別，在清單檔案宣告參數中需要增加下列哪一項permission？,android.permission.BIND_JOB_SERVICE,android.permission.BIND_DEVICE_ADMIN,android.permission.BIND_ACCESSIBILITY_SERVICE,android.permission.BIND_NOTIFICATION_LISTENER_SERVICE,
2,將應用程式發佈至Google Play時，系統支援的單一APK檔案大小上限為下列哪一個大小？,40MB,50MB,60MB,沒有限制,
1,若要瀏覽和管理App專案中的檔案，下列哪一項正確？,專案檢視視窗,App畫面預覽視窗,模擬器狀態視窗,除錯視窗,
3,為了整合Google相關的應用服務，程式必須利用Google Play Service Client API與Google Play Service底層溝通；但是，設備端（手機/平板）有最低版本的要求。下列哪一項是最低要求的版本？,Android 1.6（API level 4）,Android 2.1（API level 7）,Android 2.3（API level 9）,Android 5.0（API level 21）,
3,如附圖所示之程式碼，需在行號07的區塊加入下列哪一段程式，才會畫出如附圖的「空心圓形」？,^[GD90505],^[GD90506],^[GD90507],^[GD90508],
2,若要進行單元測試，需在下列哪一個介面中新增配置？,Version Control,Run/Debug Configurations,AVD Manager,SDK Manager,
1,在實作撥號相關的Android應用程式時，可以透過PhoneStateListener來監控手機電話狀態，並覆寫onCallStateChanged()方法，透過傳入的state來判斷電話狀態。其中state等於下列哪一項選項時，代表有電話打進來？,TelephonyManager.CALL_STATE_RINGING,TelephonyManager.CALL_STATE_IDLE,TelephonyManager.CALL_STATE_ONLINE,TelephonyManager.CALL_STATE_OFFHOOK,
1,TelephonyManager.getSimState()方法可以取得手機SIM卡的狀態，請問如果手機內無SIM卡時，getSimState()方法的回傳值為下列哪一項選項？,TelephonyManager.SIM_STATE_ABSENT,TelephonyManager.SIM_STATE_UNKNOWN,TelephonyManager.SIM_STATE_PUK_REQUIRED,TelephonyManager.SIM_STATE_NETWORK_LOCKED,
2,在應用程式中可使用WifiManager來管理手持設備的無線網路連線。請問下列哪一個方法可以用來關閉手持設備的無線網路連線？,setWifiDisabled(true),setWifiEnabled(false),setWifiDisabled(),setWifiClosed(),
24,下列哪些指令具有註解的功能？,[Ctrl] + [F],[Ctrl] + [/],[Ctrl] + [Shift] + [F],[Ctrl] + [Shift] + [/],
3,AnimationDrawable可以製作出如動態GIF圖檔的動畫效果，可將設定檔預先設定成XML檔案，並儲存於/res資料夾下。關於AnimationDrawable的敘述，下列哪一項錯誤？,AnimationDrawable.start()可啟動動畫運行,"在XML設定檔中定義android:oneshot=""true""可使AnimationDrawable執行時只執行一個循環",android:oneshot屬性的預設值為true,AnimationDrawable.stop()可停止動畫運行,
4,關於Gradle模組組態設定中的參數，下列敘述哪一項錯誤？,applicationId是用來定義App唯一的識別碼，通常會與套件名稱相同,minSdkVersion是指定可執行該App的最低Android版本,targetSdkVersion是指定可執行該App的標準Android版本,maxSdkVersion是指定可執行該App的最低Android版本,
12,關於群組通知（Groups Of Notifications）的敘述，下列哪些正確？,通過群組通知，可以確保不向用戶顯示冗餘數據,將多個通知整合在一個通知中，也可以展開看所包含的所有通知,Wear OS設備不支援Bundled Notifications,此消息佔據一個矩形框，一段時間後會淡入並淡出。框的大小取決於消息內容,
1,若要對Android Studio修改預設的設定，例如：編碼、版本控管、語言等等，可以在下列哪一項進行設定？,File/Settings,File/Project Structure,File/Import Settings,File/Export Settings,
3,在Android Things系統服務中，下列哪一項是負責管理外部設備連接的系統服務？,LocationManager,ServiceManager,PeripheralManager,BluetoothManager,
123,Instant Native Android apps與一般需安裝的App，在應用上有下列哪些差別或限制？,無法使用背景服務,無法執行背景通知,無法存取裝置外部儲存空間,沒有任何差別或限制,
14,在省電模式中，使用Doze模式可能會影響AlarmManager警報和計時器管理，可使用下列哪些方法讓系統處於Doze模式下也會觸發警報？,setAndAllowWhileIdle(),setAlarmClock(),setExact(),setExactAndAllowWhileIdle(),
1,Android預設會將openOutputFile的檔案存放在下列哪一項目錄下？,/data/data/package_name/files,/data/app/package_name/files,/data/app/package_name/shared_pref,/data/app/package_name/databases,
3,關於Toast的敘述，下列哪一項正確？,可以用來建立對話框,可以在其中加入按鈕,可以在不中斷正常操作的情況下顯示提示訊息,可以指定其顯示時間（秒數）,
2,關於LinearLayout版面配置元件的敘述，下列哪一項錯誤？,LinearLayout元件中，可以包含多層版面,在LinearLayout元件中，可以透過android:width屬性定義內容元件寬度,可以透過getOrientation方法，取得LinearLayout元件的排列方向,在LinearLayout元件中，可以透過android:orientation屬性定義內容元件排列方向,
3,關於Broadcast Receiver的敘述，下列哪一項正確？,Broadcast Intent是在前景運行的動作,Broadcast Intent後會啟動對應的Activity,可透過<receiver>標籤在AndroidManifest.xml中註冊,使用者可以直觀感受到Broadcast的效果,
1,如附圖所示，下列哪一項是用來群組化設定項目，以方便使用者檢視的元件？,PreferenceCategory,PreferenceScreen,RingtonePreference,ListPreference,
1,重新啟動一個Activity時，下列哪一項是正確的生命週期順序？,onCreate → onStart → onResume,onStop → onResume → onCreate,onResume → onStart → onOpen,onPause → onStart → onResume,
123,在openFileOutput()時使用MODE_APPEND，會產生下列哪些結果？,在檔案內繼續添加內容而非覆蓋,該檔案可以立即被寫入內容,如果呼叫時該檔案不存在，會丟出例外,產生的檔案可以被其他應用程式存取,
12,關於FCM（Firebase Cloud Message）的敘述，下列哪些正確？,每一則FCM發送的大小上限為4KB,訊息的存活最長時間為四週 ,伺服器端發送FCM後，FCM SERVER不會回覆發送狀況,伺服器發送FCM需要收費,
13,要撰寫一個包含中英文的多語系應用程式，可以在專案res目錄中加入下列哪些目錄來達成？,values目錄,values_zh目錄,values-zh-rTW目錄,values-zh_rTW目錄,
23,關於應用程式發佈至Google Play的敘述，下列哪些正確？,APK不需要憑證簽署,套件名稱（package name）不可與其他應用程式重複,使用的圖片不可有侵害版權的情形,主題圖片可以不用上傳,
3,如果要建立可以隨著應用程式（App）被移除而一同被移除的外部儲存（External Storage）檔案，那麼外部儲存檔案的儲存路徑中一定要包含下列哪一個名稱？,應用程式名稱（Application Name）,活動名稱（Activity Name）,套件名稱（Package Name）,專案名稱（Project Name）,
3,在Android應用程式中要實作照相機的功能，需在AndroidManifest.xml設定檔中加入下列哪一項權限設定？,"<uses-permission android:name=""android.permission.PICTURE""/>","<uses-permission android:name=""android.permission.REORDER_TASKS""/>","<uses-permission android:name=""android.permission.CAMERA""/>",不需加入任何權限設定,
3,下列哪一項不是Android支援的Sensor類型？,Sensor.TYPE_GYROSCOPE,Sensor.TYPE_LIGHT,Sensor.TYPE_MOVE,Sensor.TYPE_ACCELEROMETER,
1,Android在下列哪一個版本後，可以在執行階段要求權限（Request permissions at runtime）？,Android 6,Android 7,Android 8,Android 9,
1,如附圖所示之程式碼，在AndroidManifest.xml檔案中，下列哪一項是正確的屬性定義？,點選LAUNCHER畫面的應用程式圖示可開啟這個Activity,長按LAUNCHER畫面，彈出的選單中會加入這個Activity選項,Category中可開啟這個Activity,所有應用程式的選擇畫面中都自動加入這個Activity,
3,如附圖所示之程式碼，若將附圖之程式碼寫進程式中，會執行下列哪一項動作？,使用完整路徑呼叫相對應的Intent,開啟瀏覽器瀏覽網頁,不動作,開啟Email程式寄送內容資訊,
1,關於Context#openFileOutput的說明，下列哪一項正確？,參數使用MODE_APPEND，代表在檔案內繼續添加內容而非覆蓋,參數使用MODE_PRIVATE，代表寫入的檔案連同一個應用程式都無法讀取,參數使用MODE_READ，代表檔案只能被讀取，不可以重複被寫入,參數使用MODE_WRITE，檔案才可以被寫入,
1,在應用程式中，已知一電話號碼myPhone，在程式中要將myPhone直接撥打出去，下列敘述哪一項正確？,^[GD90501],^[GD90502],^[GD90503],^[GD90504],
1,下列哪一項方法，可以正確建立LocationManager物件？,LocationManager lm =(LocationManager)getSystemService(Context.LOCATION_SERVICE);,LocationManager lm =(LocationManager)getSystemService(Context.LOCATION);,LocationManager lm =(LocationManager)getSystemService(Context.FINE_LOCATION);,LocationManager lm =(LocationManager)getSystemService(Context.LOCATION_PROVIDER);,
3,使用下列哪一項方式可以取得下載快取目錄？,Environment.getExternalStorageDirectory(),Environment.getDataDirectory(),Environment.getDownloadCacheDirectory(),Environment.getRootDirectory(),
1,在應用程式中我們常使用ConnectivityManager來檢查網路連線狀態，其中ConnectivityManager.getNetworkInfo(int networkType)可以取得網路相關資訊，請問若要檢查行動網路是否有連線，networkType需要傳入下列哪一個參數？,ConnectivityManager.TYPE_MOBILE,ConnectivityManager.TYPE_INTERNET,ConnectivityManager.TYPE_4G,ConnectivityManager.TYPE_WIFI,
1234,關於單元測試應具備的特性，下列敘述哪些正確？,快速、獨立,可重複,及時，單元測試應該恰好在使其通過的產品code之前撰寫,可反應驗證結果，單元測試不論成功或失敗，都應該要從測試的報告中直接了解其含意,
2,關於Activity的敘述，下列哪一項正確？,一個Application中只能有一個Activity,使用者可以從一個程式中的Activity跳到另一個程式中的Activity,要切換到另一個Activity，應先按[HOME]鍵回到桌面，再點選應用程式按鈕以進入Activity,Android未提供從目前Activity回到前一個Activity的功能,
123,下列哪些為SQLite提供的資料型態？,INTEGER,REAL,TEXT,BOOLEAN,
1,如附圖所示之程式碼，為一字串陣列設定碼，下列哪一項可以正確讀取planets_array字串陣列？,String[] planets = getResources().getStringArray(R.array.planets_array);,String planets = getResources().getStringArray(R.array.planets_array);,String[] planets = getResources().getString(R.array.planets_array);,String planets = getResources().getString(R.array.planets_array);,
1,下列哪一個Android SDK影音類別提供呼叫硬體編解碼功能？,MediaCodec,VideoView,MediaPlayer,MediaController,
34,關於SQLiteOpenHelper的敘述，下列哪些正確？,應用程式啟動時，每次都會呼叫SQLiteOpenHelper#onCreate方法,應用程式啟動時，每次都會呼叫SQLiteOpenHelper#onUpgrade方法,SQLiteOpenHelper可以建立in-memory database,應用程式啟動時，當資料庫不存在時才會呼叫SQLiteOpenHelper#onCreate方法,
34,關於AlertDialog.builder基本功能的敘述，下列哪些錯誤？,其建立對話框的步驟是先定義呼叫點，再實作對話框,可以在其中加入標題圖示 ,可以控制其顯示位置,可以控制其顯示時間的長短,
2,關於SmsManager的敘述，下列哪一項錯誤？,divideMessage()方法可將簡訊內容拆成數則，以手機單則最大字數為限,sendSMSMessage()方法可傳送文字型態的簡訊，透過指定的PendingIntent還可知道傳送結果,傳送簡訊方法中傳入的PendingIntent，可聆聽系統廣播的發送結果,getDefault()方法為取得SmsManager的預設實例（Instance）,
3,假設gson.jar與httpclient.jar兩個檔案均已放到模組的libs資料夾內；若模組需要使用到這兩個套件，下列哪一項方式，可以手動修改build.gradle的相關性設定（只加入一行參數）？,compile project(':gson.jar'),compile files('libs/gson.jar'),"compile fileTree(dir:'libs',include:['*.jar'])",compile files('libs/httpclient.jar'),
1234,關於Git系統中常用的指令，下列哪些正確？,初始化一個git repository的指令為git init,檢查git repository目前（commit/push）狀態的指令為git status,新增commit檔案的指令為git add,刪除commit檔案的指令為git rm,
13,searchable.xml在公開給Quick Search Box時，需要做下列哪些設定？,android:includeInGlobalSearch需設定為true,android:includeInGlobalSearch需設定為false,android:searchSettingsDescription可設可不設,android:includeInGlobalSearch可設可不設,
4,下列哪一個版本的Android SDK開始內建指紋辨識的API？,Gingerbread,Jelly Bean,Ice Cream Sandwich,Marshmallow,
2,開發Android App時，通常會在組態設定檔內指定支援度最佳的Android 平台版本，下列哪一項正確？,android:compileSdkVersion,android:targetSdkVersion,android:maxSdkVersion,android:minSdkVersion,
3,寫錄音程式時需先有四個預備動作，下列哪一項非其中之一？,setAudioSource,setAudioEncoder,setMaxDuration,setOutputFormat,
1,定義一個版面配置檔案，需要從上而下依序排列介面元件時，一般會使用下列哪一項版面配置元件？,LinearLayout,RelativeLayout,TableLayout,FrameLayout,
3,Android中的DownloadManager系統服務，是使用下列哪一項參數廣播給BroadcastReceiver，通知系統檔案下載完畢？,DownloadManager.ACTION_DOWNLOAD_FINISH,DownloadManager.ACTION_DOWNLOAD_OVER,DownloadManager.ACTION_DOWNLOAD_COMPLETE,DownloadManager.ACTION_DOWNLOAD_DONE,
123,Instant Run主要可分為下列哪三種類型？,Hot Swap,Warm Swap,Cold Swap,Cool Swap,
4,如果要讀取存放在Android內部儲存（Internal storage）上的檔案，需要使用下列哪一個方法？,Context.openFileOutput(),Context.openWriteFile(),Context.openReadFile(),Context.openFileInput(),
2,關於版面配置的敘述，下列哪一項錯誤？,可以透過程式直接定義版面配置,在版面配置檔案中，以<?layout標籤作開頭,可以使用的Layout包含LinearLayout、RelativeLayout,可以透過XML定義選單,
4,關於AlertDialog.builder基本功能的敘述，下列哪一項錯誤？,可以用來建立對話框,對話框會重疊顯示到原本的呼叫頁面上,對話框也是一種顯示內容（View）,可以控制其顯示時間的長短,
1,AnimationDrawable可以製作出如同動態GIF圖檔的動畫效果，下列哪一項屬性的設定可以讓動畫啟動後，只跑一個循環就停止？,"android:oneshot=""true""","android:oneshot=""false""","android:run=""1""","android:run=""0""",
4,建立LocationListener物件後，下列哪一項方法不一定要被覆寫？,onLocationChanged(),onProviderDisabled(),onStatusChanged(),onProviderChanged(),
3,若要建置程式碼並執行「Run 'app'」，下列指令哪一項正確？,[Shift] + [F8],[Shift] + [F9],[Shift] + [F10],[Shift] + [F11],
3,應用程式上架後，若後續有新版本上架更新，安裝過該App的使用者會收到通知。請問在Gradle組態設定中，下列哪一個參數「一定」要變更？,applicationId,minSdkVersion,versionCode,versionName,
1,在Activity運作中按下[BACK]鍵，Activity最後會呼叫下列哪一項方法？,onDestroy,onStop,onStopCommand,onPause,
13,如附圖所示之程式碼，關於content URI的敘述，下列哪些錯誤？,C部分必須至少有一節,A部分為prefix，不可以變更,D部分為指定某一筆資料的_id，如果要取得所有資料時可以將URI改為content://com.example.transportation/provider/trains ,B部分應該使用包含package的完整類別名稱，以保持獨特性,
123,Android 6.0中引入了新的權限管理模型，下列敘述哪些正確？,允許應用程式在執行時期（RunTime）提示使用者是否授予權限,被歸類於PROTECTION_NORMAL的權限系統會直接授予，不需特別設定,權限被群組化,針對所有的權限，如果在程式中需執行相關權限的動作時，必須檢查是否有授予該權限,
1,在Android.app.Service的類別中，下列哪一項方法是建構一個Service時一定要覆寫的方法？,onBind(),onCreate(),onStart(),onStop(),
1,下列哪一項方法可以調整Paint物件的畫筆寬度？,Paint.setStrokeWidth(float width);,Paint.setStrokeMiter(float miter);,Paint.setStrokeCap(Cap cap);,Paint.setStrokeJoin(Join join);,
1,下列哪一項是監聽手機設備狀態改變的方法？,"public void onCallStateChanged(int state,String incomingNumber)",public void onCellLocationChanged(CellLocation location),public void onDataConnectionStateChanged(int state),"public void onDataConnectionStateChanged(int state,int networkType)",
2,若要在res目錄中定義程式使用的陣列、字串、尺寸、色彩和樣式的常數值，需在下列哪一項進行設定？,layout,values,menu,drawable,
4,如附圖所示之模組參數設定，假設開發中的Android專案沒有任何語法或設定錯誤，當點擊「Run 'app'」進行開發時期的測試，此時系統會自動產生可執行檔案（APK）。請問下列哪一個APK檔案會被生成？,app-freeVersion-release.apk,app-freeVersion-debug.apk,app-freeVersion.apk,app-debug.apk,
1,在Android 9.0中，如果要取得Wi-Fi的相關資料（如：SSIDs、BSSIDs…等），需呼叫下列WifiManager的哪一個方法？,getConnectionInfo(),getDhcpInfo(),getConfiguredNetworks(),getScanResults(),
2,Logcat使用的方法（Method）中，下列哪一項是用於將系統錯誤訊息列出的方法？,"Log.i(string,string)","Log.e(string,string)","Log.w(string,string)","Log.v(string,string)",
1,關於TabHost版面配置元件的敘述，下列哪一項錯誤？,TabHost元件中，不可包含多個Activity,TabHost元件中，可以包含多個RelativeLayout元件,TabHost元件中，可以包含多個TabWidget元件,TabHost元件中，可以包含多個TableLayout元件,
1234,關於EditText元件中，加入不同inputType屬性值效果的敘述，下列哪些正確？,在inputType中加入phone宣告，可以讓欄位只能輸入電話號碼,在inputType中加入date宣告，可以讓欄位只能輸入日期,在inputType中加入textMultiLine宣告，可以允許多行輸入,在inputType中加入textPassword宣告，可以讓欄位以密碼（*號）顯示,
24,關於EditText元件的敘述，下列哪些正確？,在EditText元件中加入android:number宣告，可以讓過長的字串以跑馬燈效果顯示,EditText類別繼承自TextView類別,EditText類別繼承自UI類別,在EditText元件中加入android:inputType宣告，可以預先指定輸入內容的類型,
2,如附圖所示之程式碼，使用MediaPlayer播放音樂，下列敘述哪一項錯誤？,缺少mp.seek(0);的程式描述，需在prepare()之前呼叫seek()方法,呼叫setDataSource與prepare()皆需處理IOException的例外處理,呼叫prepare()方法需要處理IOException的例外處理,呼叫start()方法需要處理IOException的例外處理,
3,關於TableLayout版面配置元件的敘述，下列哪一項正確？,TableLayout元件中，不可包含多層版面,一個畫面中不可包含多個TableLayout元件,TableLayout元件需搭配TableRow使用,可以在TableLayout的內容元件中，指定android:layout_column來合併欄位,
4,要實作Android Widget桌面小工具時，必須繼承下列哪一項類別？,Widget,AppWidget,WidgetProvider,AppWidgetProvider,
2,活動（Activity）會因為組態的改變（如：由直立變成橫放），而被摧毀且再重新啟動；通常會藉由Bundle來保存與還原重要的資料。但是，複雜的資料（如：一般自訂類別）就無法直接利用Bundle記錄。下列哪一個內建類別適合用來記錄（取回）複雜的資料內容？,Bundle,Fragment,Activity,Message,
1234,在Wear OS製作訊息顯示服務時，下列哪些是可用的通知樣式？,BIG_TEXT_STYLE,BIG_PICTURE_STYLE,INBOX_STYLE,MESSAGING_STYLE,
12,Instant Run的主要設計目的，下列哪些正確？,快速建置,部署,版本控制,專案管理,
1,使用下列哪一個語法可以取得外部裝置？,Environment.getExternalStorageDirectory(),Environment.getDataDirectory(),Environment.getDownloadCacheDirectory(),Environment.getRootDirectory(),
1,由於Android TV需要APP使用Leanback的使用者介面，所以必須在AndroidManifest.xml中加入下列哪一項使用特性的聲明？,android.software.leanback,android.software.vr.mode,android.software.live_wallpaper,android.software.app_widgets,
34,要製作一個提供檔案的ContentProvider，不需實作下列哪些方法？,onCreate,getType,UPDATE,openFile,
1,如要啟動自動填表（Autofill Framework）服務，需要在手機設定中的哪裡開啟？,Settings > System > Languages & input > Advanced > Input assistance > Autofill service.,Settings > System > Advanced > Languages & input > Input assistance > Autofill service.,Settings > Languages & input > System > Advanced > Input assistance > Autofill service.,Settings > Input assistance >System > Languages & input > Advanced > Autofill service.,
1,在應用程式中要透過JNI來與C++程式溝通時，要使用下列哪一行程式來指定要呼叫的C++程式？,"System.loadLibrary(""XXX"")","JNI.loadLibrary(""XXX"")","System.load (""XXX"")","JNI.load(""XXX"")",
13,若要利用Android Support Library進行程式開發，需利用Android SDK Manager進行下載、安裝。在開啟SDK Manager和點選Extras之後，下列哪些項目一定要勾選並下載？,Android Support Repository,Google Repository,Android Support Library,Google Play Service,
4,在不同的Activity間傳遞資料是透過Bundle物件來處理，但若要讓資料能夠在兩個Activity間往返自如，則必須要使用下列哪一項方法？,startActivity(),bindService(),sendBroadcast(),startActivityForResult(),
2,要在應用程式中設計一個EditText，並只允許使用者輸入電話號碼格式，可以在Layout中的EditText宣告裡加入下列哪一項屬性設定？,"android:inputType=""number""","android:inputType=""phone""","android:inputType=""tel""","android:inputType=""text""",
123,關於android.content.URIMatcher的敘述，下列哪些正確？,用來幫助Content Provider內設定和辨識URI所要存取的資源使用,"addURI(String authority, String path, int code)方法的第二個變數path中可以使用#代表數字","addURI(String authority, String path, int code)方法的第二個變數path中可以使用*代表任意字串","addURI(String authority, String path, int code)方法的第三個變數code可以為負數",
13,開發Android App時，通常需要指定應用程式的個性化圖示與標題文字，請問下列敘述哪些正確？,利用<application>的屬性android:icon指定應用程式圖示,利用<application>的屬性android:picture指定應用程式圖示,利用<application>的屬性android:label指定應用程式的標題文字,利用<application>的屬性android:title指定應用程式的標題文字,
14,關於查詢Content Provider所提供的資料，下列敘述哪些正確？,需使用URI來辨別Provider,不需提供要取得資料的欄位名稱,不需知道資料型態就可以存取,URI為content://為開頭,
12,BluetoothDevice物件提供了一些方法來取得藍牙裝置的相關資訊，下列哪些方法正確？,getName(),getAddress(),getBondStatus(),getUid(),
3,關於AlertDialog的敘述，下列哪一項錯誤？,使用show()顯示AlertDialog視窗,AlertDialog元件是由Title、Message所組成，實際應用情況是將特定訊息發送給使用者，並按下確認按鈕使AlertDialog消失,可使用setChoiceItems方法加入多選按鈕,可使用setMessage方法加入Dialog內容敘述,
123,關於SharedPreferences的敘述，下列哪些正確？,"可以透過Context.getSharedPreferences(""name"",0)取得","有getBoolean(String key, boolean defValue), getString(String key, String defValue)...等方法",如果在非PreferenceActivity中變更資料，需呼叫SharedPreferences.Editor.commit()方法,寫入的內容在其他應用程式也一定能存取,
1,Android平台上一般的應用程式屬於Android框架的哪一層？,Application層,Application Framework層,Libraries層,Kernel & Driver層,
4,下列哪一項不是預設的Preference元件？,CheckBoxPreference,DialogPreference,EditTextPreference,TextareaPreference,
3,"下列哪一項是呼叫startActivityForResult(Intent,int)方法時，後面的int類別的作用？",用作Intent代號,用作Resource代號,用作識別的代號,用作Activity的代號,
